gid,Season Type,Neutral,Date,Team,Team Long,isHome,Away Team,Away Team Long,Home Team,Home Team Long,Away Score,Home Score,5on5 Flurry Xgoals,5on5 goals,5on4 Flurry Xgoals,5on4 goals,4on5 Flurry Xgoals,4on5 goals,opp_5on5 Flurry Xgoals,opp_5on5 goals,opp_5on4 Flurry Xgoals,opp_5on4 goals,opp_4on5 Flurry Xgoals,opp_4on5 goals,EV_home_goals,PP_home_goals,SH_home_goals,EV_away_goals,PP_away_goals,SH_away_goals
2024020042,2,False,2024-10-14,BOS,Boston Bruins,True,FLA,Florida Panthers,BOS,Boston Bruins,4,3,1.074,3.0,0.43600000000000005,0.0,0.0,0.0,1.392,1.0,1.037,1.0,0.19,1.0,3,0,0,2,1,1
2024020043,2,False,2024-10-14,OTT,Ottawa Senators,True,LAK,Los Angeles Kings,OTT,Ottawa Senators,7,8,2.146,3.0,1.276,4.0,0.005,0.0,1.497,4.0,1.774,3.0,0.01,0.0,4,4,0,4,3,0
2024020044,2,False,2024-10-14,NJD,New Jersey Devils,True,UTA,Arizona Coyotes,NJD,New Jersey Devils,0,3,1.82,1.0,2.006,2.0,0.256,0.0,1.4100000000000001,0.0,0.121,0.0,0.07400000000000001,0.0,1,2,0,0,0,0
2024020045,2,False,2024-10-14,NYR,New York Rangers,True,DET,Detroit Red Wings,NYR,New York Rangers,1,4,1.607,2.0,0.8039999999999999,1.0,0.133,0.0,2.021,1.0,0.222,0.0,0.066,0.0,3,1,0,1,0,0
2024020046,2,False,2024-10-14,MTL,Montréal Canadiens,True,PIT,Pittsburgh Penguins,MTL,Montréal Canadiens,6,3,2.138,2.0,0.366,1.0,0.127,0.0,4.071,5.0,0.01,0.0,0.0,0.0,2,1,0,6,0,0
2024020047,2,False,2024-10-14,COL,Colorado Avalanche,True,NYI,New York Islanders,COL,Colorado Avalanche,6,2,2.499,2.0,0.027,0.0,0.073,0.0,2.46,4.0,0.0,0.0,0.274,1.0,2,0,0,5,0,1
2024020048,2,False,2024-10-15,TBL,Tampa Bay Lightning,True,VAN,Vancouver Canucks,TBL,Tampa Bay Lightning,1,4,2.963,3.0,0.219,0.0,0.0,0.0,1.894,0.0,0.885,1.0,0.053,0.0,4,0,0,0,1,0
2024020049,2,False,2024-10-15,WSH,Washington Capitals,True,VGK,Vegas Golden Knights,WSH,Washington Capitals,2,4,3.056,3.0,0.854,1.0,0.0,0.0,1.408,1.0,0.626,1.0,0.151,0.0,3,1,0,1,1,0
2024020050,2,False,2024-10-15,CAR,Carolina Hurricanes,True,NJD,New Jersey Devils,CAR,Carolina Hurricanes,2,4,3.531,3.0,0.042,0.0,0.0,0.0,2.507,1.0,0.02,0.0,0.0,0.0,4,0,0,1,1,0
2024020051,2,False,2024-10-15,CBJ,Columbus Blue Jackets,True,FLA,Florida Panthers,CBJ,Columbus Blue Jackets,4,3,2.122,1.0,0.262,0.0,0.15000000000000002,1.0,1.06,4.0,0.073,0.0,0.0,0.0,2,0,1,4,0,0
2024020052,2,False,2024-10-15,STL,St. Louis Blues,True,MIN,Minnesota Wild,STL,St. Louis Blues,4,1,2.063,1.0,0.761,0.0,0.136,0.0,1.666,1.0,0.753,1.0,0.271,1.0,1,0,0,1,2,1
2024020053,2,False,2024-10-15,NSH,Nashville Predators,True,SEA,Seattle Kraken,NSH,Nashville Predators,7,3,1.238,2.0,0.405,0.0,0.251,0.0,1.64,6.0,0.079,0.0,0.026,0.0,3,0,0,7,0,0
