,gid_nhl,Season Type,Neutral,Date,Away Team,Away Score,Home Team,Home Score,map,gid_ubiq,open_away_ml,close_away_ml,open_home_ml,close_home_ml,open_total_line,open_total_over,open_total_under,close_total_line,close_total_over,close_total_under,open_hc_line,open_hc_away,open_hc_home,close_hc_line,close_hc_away,close_hc_home
27,2024020028,2,False,2024-10-12,NSH,0,DET,3,2024-10-12-NSH-DET,124491,-116.0,-142.0,103.0,129.0,6.5,-102.0,-112.0,6.5,-110.0,-102.0,-1.5,209.0,-243.0,-1.5,172.0,-192.0
28,2024020030,2,False,2024-10-12,UTA,6,NYR,5,2024-10-12-UTA-NYR,124488,185.0,179.0,-213.0,-202.0,6.0,-108.0,-106.0,6.0,-105.0,-107.0,1.5,-137.0,121.0,1.5,-136.0,123.0
29,2024020031,2,False,2024-10-12,NJD,5,WSH,3,2024-10-12-NJD-WSH,124487,-150.0,-137.0,133.0,124.0,6.5,104.0,-119.0,6.0,100.0,-112.0,-1.5,166.0,-190.0,-1.5,176.0,-197.0
30,2024020032,2,False,2024-10-12,NYI,0,DAL,3,2024-10-12-NYI-DAL,124493,141.0,162.0,-160.0,-180.0,6.0,-111.0,-103.0,5.5,-120.0,107.0,1.5,-180.0,158.0,1.5,-153.0,138.0
31,2024020033,2,False,2024-10-12,SEA,5,MIN,4,2024-10-12-SEA-MIN,124494,128.0,117.0,-145.0,-129.0,5.5,-118.0,103.0,6.0,105.0,-118.0,1.5,-203.0,177.0,1.5,-216.0,192.0
32,2024020034,2,False,2024-10-12,CBJ,6,COL,4,2024-10-12-CBJ-COL,124499,262.0,275.0,-312.0,-320.0,6.5,-116.0,101.0,6.5,-115.0,103.0,1.5,108.0,-121.0,1.5,112.0,-124.0
33,2024020035,2,False,2024-10-12,PHI,3,CGY,6,2024-10-12-PHI-CGY,124502,110.0,116.0,-124.0,-128.0,6.0,-110.0,-102.0,6.5,100.0,-113.0,1.5,-226.0,195.0,1.5,-213.0,189.0
34,2024020036,2,False,2024-10-12,CHI,5,EDM,2,2024-10-12-CHI-EDM,124500,272.0,292.0,-325.0,-342.0,6.5,-103.0,-111.0,6.5,-109.0,-103.0,1.5,111.0,-125.0,1.5,120.0,-133.0
35,2024020037,2,False,2024-10-12,ANA,2,SJS,0,2024-10-12-ANA-SJS,124501,-116.0,-134.0,103.0,121.0,6.0,-118.0,103.0,6.5,100.0,-112.0,-1.5,208.0,-242.0,-1.5,189.0,-213.0
36,2024020038,2,False,2024-10-13,MIN,1,WPG,2,2024-10-13-MIN-WPG,124550,139.0,140.0,-157.0,-155.0,6.0,110.0,-126.0,5.5,-112.0,-101.0,1.5,-186.0,163.0,1.5,-179.0,161.0
37,2024020039,2,False,2024-10-13,SEA,0,DAL,2,2024-10-13-SEA-DAL,124554,176.0,153.0,-202.0,-170.0,6.0,102.0,-115.0,6.0,-107.0,-105.0,1.5,-146.0,129.0,1.5,-159.0,143.0
38,2024020040,2,False,2024-10-13,CGY,4,EDM,1,2024-10-13-CGY-EDM,124555,228.0,211.0,-267.0,-240.0,6.5,-117.0,102.0,7.0,119.0,-134.0,1.5,-106.0,-106.0,1.5,-119.0,107.0
39,2024020041,2,False,2024-10-13,ANA,1,VGK,3,2024-10-13-ANA-VGK,124558,233.0,247.0,-274.0,-284.0,6.5,106.0,-121.0,6.5,-103.0,-109.0,1.5,-106.0,-106.0,1.5,101.0,-111.0
40,2024020042,2,False,2024-10-14,FLA,4,BOS,3,2024-10-14-FLA-BOS,124608,114.0,111.0,-128.0,-122.0,5.5,-115.0,100.0,5.5,100.0,-112.0,1.5,-193.0,168.0,1.5,-236.0,208.0
41,2024020043,2,False,2024-10-14,LAK,7,OTT,8,2024-10-14-LAK-OTT,124607,108.0,-106.0,-122.0,-104.0,6.0,-104.0,-110.0,6.0,-111.0,-101.0,1.5,-238.0,205.0,1.5,-261.0,229.0
42,2024020044,2,False,2024-10-14,UTA,0,NJD,3,2024-10-14-UTA-NJD,124609,148.0,127.0,-168.0,-141.0,6.5,-112.0,-102.0,6.5,-113.0,101.0,1.5,-164.0,144.0,1.5,-170.0,153.0
43,2024020045,2,False,2024-10-14,DET,1,NYR,4,2024-10-14-DET-NYR,124610,166.0,199.0,-190.0,-225.0,6.5,102.0,-117.0,6.5,104.0,-117.0,1.5,-151.0,134.0,1.5,-123.0,112.0
44,2024020046,2,False,2024-10-14,PIT,6,MTL,3,2024-10-14-PIT-MTL,124612,-130.0,-140.0,115.0,126.0,6.5,103.0,-118.0,6.0,-117.0,104.0,-1.5,192.0,-222.0,-1.5,184.0,-208.0
