date,game-ID,home_team_abv,away_team_abv,gametime,close_away_ml,close_home_ml,close_total_line,close_total_over,close_total_under,home_goalie,away_goalie
2024-10-18,2024020072,PIT,CAR,7:00:00,-161.0,145.0,6.5,101.0,-114.0,Joel Blomqvist,Frederik Andersen
2024-10-18,2024020073,WPG,SJS,7:00:00,338.0,-402.0,6.0,108.0,-121.0,Connor Hellebuyck,Vitek Vanecek
2024-10-18,2024020074,COL,ANA,7:00:00,236.0,-270.0,7.0,119.0,-133.0,Alexandar Georgiev,Lukas Dostal
2024-10-19,2024020075,OTT,TBL,7:00:00,-140.0,126.0,6.5,-112.0,100.0,Anton Forsberg,Andrei Vasilevskiy
2024-10-19,2024020076,NSH,DET,7:00:00,171.0,-192.0,6.5,-112.0,-101.0,Juuse Saros,Alex Lyon
2024-10-19,2024020077,DAL,EDM,7:00:00,-122.0,110.0,6.5,105.0,-118.0,Jake Oettinger,Stuart Skinner
2024-10-19,2024020078,FLA,VGK,7:00:00,112.0,-124.0,5.5,-115.0,102.0,Sergei Bobrovsky,Ilya Samsonov
2024-10-19,2024020079,TOR,NYR,7:00:00,109.0,-120.0,6.5,101.0,-113.0,Anthony Stolarz,Igor Shesterkin
2024-10-19,2024020080,NJD,WSH,7:00:00,150.0,-167.0,6.0,-109.0,-103.0,Jacob Markstrom,Logan Thompson
2024-10-19,2024020081,NYI,MTL,7:00:00,201.0,-227.0,6.0,-113.0,100.0,Semyon Varlamov,Cayden Primeau
2024-10-19,2024020082,PHI,VAN,7:00:00,-140.0,127.0,6.0,-114.0,101.0,Samuel Ersson,Kevin Lankinen
2024-10-19,2024020083,CBJ,MIN,7:00:00,-172.0,154.0,6.0,-119.0,105.0,Daniil Tarasov,Filip Gustavsson
2024-10-19,2024020084,STL,CAR,7:00:00,-163.0,147.0,6.0,-102.0,-110.0,Joel Hofer,Pyotr Kochetkov
2024-10-19,2024020085,CHI,BUF,7:00:00,-148.0,134.0,6.0,-116.0,104.0,Arvid Soderblom,Ukko-Pekka Luukkonen
2024-10-19,2024020086,UTA,BOS,7:00:00,-139.0,123.0,6.0,-109.0,-105.0,Connor Ingram,Jeremy Swayman
2024-10-19,2024020087,SEA,CGY,7:00:00,129.0,-146.0,6.5,105.0,-120.0,Joey Daccord,Dan Vladar
2024-10-20,2024020088,WPG,PIT,7:00:00,113.0,-125.0,6.5,-103.0,-109.0,Eric Comrie,Alex Nedeljkovic
2024-10-20,2024020089,SJS,COL,7:00:00,-263.0,230.0,6.5,-109.0,-103.0,Vitek Vanecek,Justus Annunen
2024-10-20,2024020090,ANA,LAK,7:00:00,-174.0,156.0,6.0,-113.0,101.0,Lukas Dostal,David Rittich
2024-10-21,2024020091,TOR,TBL,7:00:00,120.0,-133.0,6.5,-109.0,-103.0,Anthony Stolarz,Andrei Vasilevskiy
2024-10-22,2024020092,PHI,WSH,7:00:00,121.0,-134.0,6.0,-107.0,-105.0,Samuel Ersson,Charlie Lindgren
2024-10-22,2024020093,FLA,MIN,7:00:00,133.0,-147.0,5.5,-113.0,100.0,Sergei Bobrovsky,Filip Gustavsson
2024-10-22,2024020094,NJD,TBL,7:00:00,125.0,-141.0,7.0,117.0,-134.0,Jake Allen,Jonas Johansson
